X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	19134	143863	17	33	8	136	ChrX	S2	1
2	2	159442	296550	18	79	30.5	153	ChrX	S2	2
3	3	303852	444871	12	30	9	66	ChrX	S2	2
4	4	457152	531656	15	39	12	105	ChrX	S2	2
5	5	610260	748877	23	105	41	253	ChrX	S2	2
6	6	758004	893387	28	42	7	378	ChrX	S2	1
7	7	919463	956242	3	3	0	3	ChrX	S2	1
8	8	1077486	1197791	13	31	9	78	ChrX	S2	2
9	9	1215495	1313255	25	35	5	300	ChrX	S2	1
10	10	1366280	1496957	9	19	5	36	ChrX	S2	1
11	11	1506388	1630584	13	29	8	78	ChrX	S2	1
12	12	1662273	1797816	11	11	0	55	ChrX	S2	1
13	13	1811301	1947081	21	86	32.5	210	ChrX	S2	2
14	14	1956258	2079101	15	39	12	105	ChrX	S2	2
15	15	2116631	2240151	27	39	6	351	ChrX	S2	1
16	16	2256181	2375593	12	16	2	66	ChrX	S2	1
17	17	2400113	2499654	12	16	2	66	ChrX	S2	1
18	18	2557113	2696878	13	21	4	78	ChrX	S2	1
19	19	2701244	2823124	7	11	2	21	ChrX	S2	1
20	20	2852976	2996279	19	40	10.5	171	ChrX	S2	2
21	21	3001908	3138306	14	16	1	91	ChrX	S2	1
22	22	3155874	3282607	6	8	1	15	ChrX	S2	1
23	23	3384375	3446712	8	10	1	28	ChrX	S2	1
24	24	3465025	3593019	12	16	2	66	ChrX	S2	1
25	25	3601069	3733937	22	60	19	231	ChrX	S2	2
26	26	3752072	3896105	16	47	15.5	120	ChrX	S2	2
27	27	3926889	4018359	10	16	3	45	ChrX	S2	1
28	28	4077269	4196448	19	27	4	171	ChrX	S2	1
29	29	4203598	4334827	22	32	5	231	ChrX	S2	1
30	30	4355171	4488406	18	18	0	153	ChrX	S2	1
31	31	4501041	4636253	19	25	3	171	ChrX	S2	1
32	32	4660267	4790394	9	17	4	36	ChrX	S2	1
33	33	4846029	4943526	8	8	0	28	ChrX	S2	1
34	34	4950179	5096455	23	37	7	253	ChrX	S2	1
35	35	5101444	5234055	15	17	1	105	ChrX	S2	1
36	36	5250337	5392026	23	43	10	253	ChrX	S2	1
37	37	5401462	5543177	14	31	8.5	91	ChrX	S2	2
38	38	5551135	5698484	17	25	4	136	ChrX	S2	1
39	39	5700276	5841757	15	19	2	105	ChrX	S2	1
40	40	5851149	5905157	5	5	0	10	ChrX	S2	1
41	41	6007617	6102624	10	14	2	45	ChrX	S2	1
42	42	6164609	6294763	17	21	2	136	ChrX	S2	1
43	43	6305270	6449816	14	24	5	91	ChrX	S2	1
44	44	6450377	6597242	17	27	5	136	ChrX	S2	1
45	45	6602180	6695857	11	26	7.5	55	ChrX	S2	2
46	46	6751501	6898057	17	25	4	136	ChrX	S2	1
47	47	6907287	7036365	13	33	10	78	ChrX	S2	2
48	48	7084085	7197723	8	10	1	28	ChrX	S2	1
49	49	7201338	7343839	17	42	12.5	136	ChrX	S2	2
50	50	7361249	7492184	16	20	2	120	ChrX	S2	1
51	51	7630959	7643690	2	2	0	1	ChrX	S2	1
52	52	7652608	7793242	19	37	9	171	ChrX	S2	1
53	53	7866180	7940487	9	17	4	36	ChrX	S2	1
54	54	7950649	8097560	16	24	4	120	ChrX	S2	1
55	55	8109109	8226906	12	16	2	66	ChrX	S2	1
56	56	8259188	8380130	14	20	3	91	ChrX	S2	1
57	57	8402345	8540088	13	27	7	78	ChrX	S2	1
58	58	8550655	8695687	11	11	0	55	ChrX	S2	1
59	59	8713924	8847528	16	22	3	120	ChrX	S2	1
