X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	24868	148249	44	118	37	946	Chr3	R2	2
2	2	152219	299879	52	202	75	1326	Chr3	R2	2
3	3	318624	442738	36	104	34	630	Chr3	R2	2
4	4	452045	598694	33	61	14	528	Chr3	R2	2
5	5	602428	742556	29	61	16	406	Chr3	R2	2
6	6	751768	898494	39	93	27	741	Chr3	R2	2
7	7	903419	1048021	43	91	24	903	Chr3	R2	2
8	8	1063534	1198279	37	51	7	666	Chr3	R2	1
9	9	1203364	1347366	34	76	21	561	Chr3	R2	2
10	10	1350032	1493441	35	83	24	595	Chr3	R2	2
11	11	1500429	1647759	38	68	15	703	Chr3	R2	1
12	12	1661270	1797047	13	13	0	78	Chr3	R2	1
13	13	1812381	1941455	27	55	14	351	Chr3	R2	2
14	14	1951369	2098980	32	46	7	496	Chr3	R2	1
15	15	2101033	2240973	39	67	14	741	Chr3	R2	1
16	16	2253063	2399412	36	110	37	630	Chr3	R2	2
17	17	2401673	2548821	23	47	12	253	Chr3	R2	2
18	18	2553255	2695972	32	74	21	496	Chr3	R2	2
19	19	2705255	2849193	29	89	30	406	Chr3	R2	2
20	20	2875164	2997140	20	34	7	190	Chr3	R2	1
21	21	3004111	3145959	20	22	1	190	Chr3	R2	1
22	22	3164257	3299632	24	26	1	276	Chr3	R2	1
23	23	3309866	3449193	36	60	12	630	Chr3	R2	1
24	24	3455339	3596112	37	51	7	666	Chr3	R2	1
25	25	3604183	3743635	16	26	5	120	Chr3	R2	1
26	26	3755817	3899817	26	42	8	325	Chr3	R2	1
27	27	3907741	4045103	25	29	2	300	Chr3	R2	1
28	28	4054615	4197852	43	85	21	903	Chr3	R2	2
29	29	4210994	4344093	32	42	5	496	Chr3	R2	1
30	30	4350173	4499924	31	79	24	465	Chr3	R2	2
31	31	4518225	4636448	23	51	14	253	Chr3	R2	2
32	32	4662268	4794472	23	37	7	253	Chr3	R2	1
33	33	4803704	4942860	28	84	28	378	Chr3	R2	2
34	34	4950521	5098813	34	60	13	561	Chr3	R2	1
35	35	5124871	5246005	26	38	6	325	Chr3	R2	1
36	36	5256087	5397036	31	41	5	465	Chr3	R2	1
37	37	5402715	5548146	38	68	15	703	Chr3	R2	1
38	38	5552831	5698394	36	90	27	630	Chr3	R2	2
39	39	5707972	5846708	37	189	76	666	Chr3	R2	2
40	40	5851464	5972274	31	53	11	465	Chr3	R2	1
41	41	6002100	6144492	26	56	15	325	Chr3	R2	2
42	42	6163803	6299706	46	230	92	1035	Chr3	R2	2
43	43	6300213	6447872	49	219	85	1176	Chr3	R2	2
44	44	6452249	6599314	48	194	73	1128	Chr3	R2	2
45	45	6616850	6743266	24	36	6	276	Chr3	R2	1
46	46	6754273	6899840	18	22	2	153	Chr3	R2	1
47	47	6905397	7043190	22	38	8	231	Chr3	R2	1
48	48	7061578	7182777	21	41	10	210	Chr3	R2	1
49	49	7217593	7340617	16	32	8	120	Chr3	R2	1
50	50	7355858	7494247	21	39	9	210	Chr3	R2	1
51	51	7501798	7642702	28	38	5	378	Chr3	R2	1
52	52	7651625	7793917	18	26	4	153	Chr3	R2	1
53	53	7803357	7918598	23	33	5	253	Chr3	R2	1
54	54	7952750	8089972	23	31	4	253	Chr3	R2	1
55	55	8106616	8247141	16	18	1	120	Chr3	R2	1
56	56	8256979	8396259	20	22	1	190	Chr3	R2	1
57	57	8410621	8548654	16	16	0	120	Chr3	R2	1
58	58	8586592	8695605	29	33	2	406	Chr3	R2	1
59	59	8700313	8848441	12	20	4	66	Chr3	R2	1
60	60	8851992	8999439	24	38	7	276	Chr3	R2	1
61	61	9005079	9148521	33	43	5	528	Chr3	R2	1
62	62	9167712	9298138	26	34	4	325	Chr3	R2	1
63	63	9301318	9441983	25	33	4	300	Chr3	R2	1
64	64	9453052	9584567	28	48	10	378	Chr3	R2	1
65	65	9600933	9741268	28	44	8	378	Chr3	R2	1
66	66	9751528	9882893	30	40	5	435	Chr3	R2	1
67	67	9907113	10036186	29	43	7	406	Chr3	R2	1
68	68	10060724	10193747	21	25	2	210	Chr3	R2	1
69	69	10204574	10339534	34	80	23	561	Chr3	R2	2
70	70	10351774	10469671	27	47	10	351	Chr3	R2	1
71	71	10502714	10649645	22	22	0	231	Chr3	R2	1
72	72	10655723	10789844	31	47	8	465	Chr3	R2	1
73	73	10808151	10938391	26	34	4	325	Chr3	R2	1
74	74	10974190	11097618	16	18	1	120	Chr3	R2	1
75	75	11100755	11215143	15	37	11	105	Chr3	R2	2
76	76	11258588	11390879	18	22	2	153	Chr3	R2	1
77	77	11401395	11532151	21	27	3	210	Chr3	R2	1
78	78	11570618	11697922	37	53	8	666	Chr3	R2	1
79	79	11703709	11829473	17	29	6	136	Chr3	R2	1
80	80	11893243	11998930	17	33	8	136	Chr3	R2	1
81	81	12002265	12128238	32	52	10	496	Chr3	R2	1
82	82	12150262	12299689	17	19	1	136	Chr3	R2	1
83	83	12302786	12440005	25	29	2	300	Chr3	R2	1
84	84	12453511	12597394	22	32	5	231	Chr3	R2	1
85	85	12620673	12748071	17	17	0	136	Chr3	R2	1
86	86	12751336	12896600	29	47	9	406	Chr3	R2	1
87	87	12905370	13038312	33	51	9	528	Chr3	R2	1
88	88	13053756	13191721	27	51	12	351	Chr3	R2	1
89	89	13213277	13348834	29	45	8	406	Chr3	R2	1
90	90	13360199	13498576	15	19	2	105	Chr3	R2	1
91	91	13503459	13649284	28	46	9	378	Chr3	R2	1
92	92	13654032	13793477	17	27	5	136	Chr3	R2	1
93	93	13811658	13949757	32	110	39	496	Chr3	R2	2
94	94	13951386	14094451	26	40	7	325	Chr3	R2	1
95	95	14105582	14243940	14	16	1	91	Chr3	R2	1
96	96	14264761	14391998	38	80	21	703	Chr3	R2	2
97	97	14408296	14537243	28	70	21	378	Chr3	R2	2
98	98	14550891	14672363	17	35	9	136	Chr3	R2	1
99	99	14726161	14848569	33	57	12	528	Chr3	R2	1
100	100	14850268	14999346	37	71	17	666	Chr3	R2	2
101	101	15009997	15148198	15	29	7	105	Chr3	R2	1
102	102	15152785	15296776	34	66	16	561	Chr3	R2	2
103	103	15307674	15443901	21	27	3	210	Chr3	R2	1
104	104	15451128	15588701	19	41	11	171	Chr3	R2	2
105	105	15601764	15744851	25	31	3	300	Chr3	R2	1
106	106	15762681	15894488	17	29	6	136	Chr3	R2	1
107	107	15901584	16029858	24	70	23	276	Chr3	R2	2
108	108	16060645	16196464	13	15	1	78	Chr3	R2	1
109	109	16202852	16343409	28	50	11	378	Chr3	R2	1
110	110	16353319	16485358	24	26	1	276	Chr3	R2	1
111	111	16501489	16649928	36	46	5	630	Chr3	R2	1
112	112	16652821	16759309	22	50	14	231	Chr3	R2	2
113	114	16994907	17088468	10	14	2	45	Chr3	R2	1
114	115	17101344	17244738	39	77	19	741	Chr3	R2	2
115	116	17269609	17391026	23	37	7	253	Chr3	R2	1
116	117	17401699	17531667	29	55	13	406	Chr3	R2	2
117	118	17558696	17699943	41	83	21	820	Chr3	R2	2
118	119	17705389	17848145	23	35	6	253	Chr3	R2	1
119	120	17864037	17999535	26	38	6	325	Chr3	R2	1
120	121	18014273	18149029	34	44	5	561	Chr3	R2	1
121	122	18156743	18294450	36	52	8	630	Chr3	R2	1
122	123	18328622	18447706	25	45	10	300	Chr3	R2	1
123	124	18458376	18596304	21	69	24	210	Chr3	R2	2
124	125	18609419	18743398	25	43	9	300	Chr3	R2	1
125	126	18759663	18894220	24	38	7	276	Chr3	R2	1
126	127	18907047	19048019	28	42	7	378	Chr3	R2	1
127	128	19050406	19194980	34	52	9	561	Chr3	R2	1
128	129	19204357	19344558	37	63	13	666	Chr3	R2	1
129	130	19445810	19499642	15	17	1	105	Chr3	R2	1
130	131	19502914	19640136	35	59	12	595	Chr3	R2	1
131	132	19651434	19783388	34	48	7	561	Chr3	R2	1
132	133	19803686	19945706	30	38	4	435	Chr3	R2	1
133	134	19954257	20097335	20	42	11	190	Chr3	R2	2
134	135	20105893	20237264	20	26	3	190	Chr3	R2	1
135	136	20254720	20397682	19	23	2	171	Chr3	R2	1
136	137	20401835	20545315	31	47	8	465	Chr3	R2	1
137	138	20550003	20696541	34	52	9	561	Chr3	R2	1
138	139	20715080	20831310	22	44	11	231	Chr3	R2	1
139	140	20852290	20985760	16	18	1	120	Chr3	R2	1
140	141	21041562	21138644	19	23	2	171	Chr3	R2	1
141	142	21153287	21296305	38	98	30	703	Chr3	R2	2
142	143	21300133	21449987	27	39	6	351	Chr3	R2	1
143	144	21451115	21598212	27	39	6	351	Chr3	R2	1
144	145	21600224	21747790	25	35	5	300	Chr3	R2	1
145	146	21769873	21895030	21	49	14	210	Chr3	R2	2
146	147	21900542	22028133	25	27	1	300	Chr3	R2	1
147	148	22054679	22197017	31	51	10	465	Chr3	R2	1
148	149	22200197	22348418	41	105	32	820	Chr3	R2	2
149	150	22376690	22487524	28	96	34	378	Chr3	R2	2
150	151	22507893	22644470	16	20	2	120	Chr3	R2	1
151	152	22650110	22798679	35	69	17	595	Chr3	R2	2
152	153	22801574	22944761	30	46	8	435	Chr3	R2	1
153	154	22952203	23099295	29	37	4	406	Chr3	R2	1
154	155	23110031	23192327	14	16	1	91	Chr3	R2	1
155	156	23297796	23396630	13	13	0	78	Chr3	R2	1
156	157	23401940	23543674	30	46	8	435	Chr3	R2	1
157	158	23551906	23698456	21	33	6	210	Chr3	R2	1
158	159	23700452	23839585	23	25	1	253	Chr3	R2	1
159	160	23899395	23993738	13	13	0	78	Chr3	R2	1
160	161	24000431	24148322	31	49	9	465	Chr3	R2	1
161	162	24151563	24295403	20	68	24	190	Chr3	R2	2
162	163	24301669	24436213	24	30	3	276	Chr3	R2	1
163	164	24460559	24579365	11	15	2	55	Chr3	R2	1
164	165	24610761	24748857	28	46	9	378	Chr3	R2	1
165	166	24771997	24887249	17	27	5	136	Chr3	R2	1
166	167	24917417	25048824	19	31	6	171	Chr3	R2	1
167	168	25053371	25193895	28	56	14	378	Chr3	R2	2
168	169	25216565	25344004	25	35	5	300	Chr3	R2	1
169	170	25356412	25484940	14	18	2	91	Chr3	R2	1
170	171	25501387	25637660	26	28	1	325	Chr3	R2	1
171	172	25677629	25794989	21	39	9	210	Chr3	R2	1
172	173	25810021	25944851	16	18	1	120	Chr3	R2	1
173	174	25950078	26088733	21	29	4	210	Chr3	R2	1
174	175	26104552	26248353	21	37	8	210	Chr3	R2	1
175	176	26251300	26396371	26	36	5	325	Chr3	R2	1
176	177	26401790	26547588	23	33	5	253	Chr3	R2	1
177	178	26551335	26699336	27	33	3	351	Chr3	R2	1
178	179	26701735	26826601	19	21	1	171	Chr3	R2	1
179	180	26867165	26990314	9	9	0	36	Chr3	R2	1
180	181	27005807	27121344	22	34	6	231	Chr3	R2	1
181	182	27161014	27299005	24	32	4	276	Chr3	R2	1
182	183	27305496	27449464	21	37	8	210	Chr3	R2	1
183	184	27450049	27599187	36	66	15	630	Chr3	R2	2
184	185	27606168	27736186	28	46	9	378	Chr3	R2	1
185	186	27763327	27873060	24	36	6	276	Chr3	R2	1
186	187	27900632	28043176	21	25	2	210	Chr3	R2	1
187	188	28054663	28196283	14	16	1	91	Chr3	R2	1
188	189	28200529	28307547	26	36	5	325	Chr3	R2	1
189	190	28353060	28496644	49	89	20	1176	Chr3	R2	2
190	191	28501626	28626790	21	27	3	210	Chr3	R2	1
191	192	28693643	28793416	12	12	0	66	Chr3	R2	1
192	193	28835693	28939695	12	16	2	66	Chr3	R2	1
193	194	28950866	29096190	27	41	7	351	Chr3	R2	1
194	195	29100240	29246930	22	30	4	231	Chr3	R2	1
195	196	29259195	29389260	20	32	6	190	Chr3	R2	1
196	197	29427235	29545768	16	18	1	120	Chr3	R2	1
197	198	29570135	29699190	21	29	4	210	Chr3	R2	1
198	199	29728111	29735281	5	5	0	10	Chr3	R2	1
199	200	29853146	29985636	17	23	3	136	Chr3	R2	1
200	201	30001529	30144719	29	51	11	406	Chr3	R2	1
201	202	30153399	30289343	22	30	4	231	Chr3	R2	1
202	203	30300273	30447750	20	24	2	190	Chr3	R2	1
203	204	30452469	30596010	17	19	1	136	Chr3	R2	1
204	205	30602076	30746788	12	14	1	66	Chr3	R2	1
205	206	30759610	30886595	26	30	2	325	Chr3	R2	1
206	207	30904895	31046122	21	23	1	210	Chr3	R2	1
207	208	31052512	31198880	33	43	5	528	Chr3	R2	1
208	209	31200439	31325371	19	19	0	171	Chr3	R2	1
209	210	31379498	31475135	8	10	1	28	Chr3	R2	1
210	211	31520526	31643346	17	29	6	136	Chr3	R2	1
211	212	31650169	31789410	15	15	0	105	Chr3	R2	1
212	213	31805140	31949373	32	36	2	496	Chr3	R2	1
213	214	31984023	32081402	17	33	8	136	Chr3	R2	1
214	215	32107119	32211631	12	14	1	66	Chr3	R2	1
215	216	32280538	32377495	17	27	5	136	Chr3	R2	1
216	217	32419430	32505509	14	14	0	91	Chr3	R2	1
217	218	32677045	32693715	5	5	0	10	Chr3	R2	1
218	219	32714911	32846528	19	23	2	171	Chr3	R2	1
219	220	32850552	32999343	32	44	6	496	Chr3	R2	1
220	221	33008738	33148775	16	18	1	120	Chr3	R2	1
221	222	33186616	33295182	26	36	5	325	Chr3	R2	1
222	223	33305168	33449776	43	83	20	903	Chr3	R2	2
223	224	33450057	33594970	25	45	10	300	Chr3	R2	1
224	225	33601010	33736481	26	46	10	325	Chr3	R2	1
225	226	33761854	33899119	34	44	5	561	Chr3	R2	1
226	227	33905116	34049060	27	51	12	351	Chr3	R2	1
227	228	34050091	34186120	26	48	11	325	Chr3	R2	1
228	229	34204542	34340344	24	42	9	276	Chr3	R2	1
229	230	34356794	34492517	41	47	3	820	Chr3	R2	1
230	231	34504117	34642642	27	39	6	351	Chr3	R2	1
