X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	3940	132447	22	32	5	231	Chr1	R1	1
2	2	153139	297475	38	182	72	703	Chr1	R1	2
3	3	305354	446264	27	39	6	351	Chr1	R1	1
4	4	467576	598166	31	55	12	465	Chr1	R1	1
5	5	609153	744711	57	187	65	1596	Chr1	R1	2
6	6	750739	888375	43	99	28	903	Chr1	R1	2
7	7	903826	1046897	54	140	43	1431	Chr1	R1	2
8	8	1050589	1196127	37	97	30	666	Chr1	R1	2
9	9	1206195	1341900	31	41	5	465	Chr1	R1	1
10	10	1356454	1499458	34	68	17	561	Chr1	R1	2
11	11	1503879	1640875	11	13	1	55	Chr1	R1	1
12	12	1650955	1798911	27	47	10	351	Chr1	R1	1
13	13	1809777	1949588	22	24	1	231	Chr1	R1	1
14	14	1954739	2087396	34	64	15	561	Chr1	R1	2
15	15	2109756	2249300	27	39	6	351	Chr1	R1	1
16	16	2252625	2377492	20	20	0	190	Chr1	R1	1
17	17	2405764	2546512	20	20	0	190	Chr1	R1	1
18	18	2559795	2683259	21	33	6	210	Chr1	R1	1
19	19	2703324	2847668	20	34	7	190	Chr1	R1	1
20	20	2850724	2999367	32	42	5	496	Chr1	R1	1
21	21	3000955	3143534	13	15	1	78	Chr1	R1	1
22	22	3158807	3297617	29	45	8	406	Chr1	R1	1
23	23	3303020	3447737	27	31	2	351	Chr1	R1	1
24	24	3459533	3571816	18	22	2	153	Chr1	R1	1
25	25	3612316	3742126	15	19	2	105	Chr1	R1	1
26	26	3769412	3890831	19	23	2	171	Chr1	R1	1
27	27	3918358	4040230	26	32	3	325	Chr1	R1	1
28	28	4056428	4199079	30	40	5	435	Chr1	R1	1
29	29	4203101	4345675	33	57	12	528	Chr1	R1	1
30	30	4350162	4499619	30	64	17	435	Chr1	R1	2
31	31	4500258	4621971	17	19	1	136	Chr1	R1	1
32	32	4651732	4778794	18	20	1	153	Chr1	R1	1
33	33	4802957	4949967	21	23	1	210	Chr1	R1	1
34	34	4952468	5085620	23	27	2	253	Chr1	R1	1
35	35	5119824	5248991	19	33	7	171	Chr1	R1	1
36	36	5262393	5393013	29	37	4	406	Chr1	R1	1
37	37	5404471	5542781	19	19	0	171	Chr1	R1	1
38	38	5551047	5696953	27	35	4	351	Chr1	R1	1
39	39	5703583	5840480	18	20	1	153	Chr1	R1	1
40	40	5854320	5978884	25	35	5	300	Chr1	R1	1
41	41	6002846	6135357	16	24	4	120	Chr1	R1	1
42	42	6154987	6295794	28	72	22	378	Chr1	R1	2
43	43	6348886	6445145	8	18	5	28	Chr1	R1	1
44	44	6464942	6538262	4	4	0	6	Chr1	R1	1
45	45	6681101	6749769	6	8	1	15	Chr1	R1	1
46	46	6758194	6880029	9	29	10	36	Chr1	R1	2
47	47	6931201	7028521	6	8	1	15	Chr1	R1	1
48	48	7074946	7196016	7	13	3	21	Chr1	R1	1
49	49	7210325	7348851	11	19	4	55	Chr1	R1	1
50	50	7369489	7482408	10	32	11	45	Chr1	R1	2
51	51	7512060	7637439	16	34	9	120	Chr1	R1	1
52	52	7650105	7794570	16	76	30	120	Chr1	R1	2
53	53	7805523	7924967	19	59	20	171	Chr1	R1	2
