X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	9278	141608	36	244	104	630	Chr2	R2	2
2	2	153898	295933	39	149	55	741	Chr2	R2	2
3	3	302829	444617	46	116	35	1035	Chr2	R2	2
4	4	468080	594432	35	79	22	595	Chr2	R2	2
5	5	622663	747647	24	88	32	276	Chr2	R2	2
6	6	752959	896368	21	51	15	210	Chr2	R2	2
7	7	903584	1049238	40	72	16	780	Chr2	R2	2
8	8	1052943	1194951	26	60	17	325	Chr2	R2	2
9	9	1200284	1349687	21	63	21	210	Chr2	R2	2
10	10	1351997	1498492	17	31	7	136	Chr2	R2	1
11	11	1523233	1645183	17	21	2	136	Chr2	R2	1
12	12	1655367	1793713	23	31	4	253	Chr2	R2	1
13	13	1800261	1949744	17	27	5	136	Chr2	R2	1
14	14	1952705	2096368	23	25	1	253	Chr2	R2	1
15	15	2100299	2249198	31	45	7	465	Chr2	R2	1
16	16	2250211	2394130	37	49	6	666	Chr2	R2	1
17	17	2402272	2549693	42	64	11	861	Chr2	R2	1
18	18	2563193	2698965	23	29	3	253	Chr2	R2	1
19	19	2706739	2831981	19	23	2	171	Chr2	R2	1
20	20	2852056	2982469	28	36	4	378	Chr2	R2	1
21	21	3022488	3145307	22	38	8	231	Chr2	R2	1
22	22	3163776	3295024	22	38	8	231	Chr2	R2	1
23	23	3306183	3442904	23	29	3	253	Chr2	R2	1
24	24	3451353	3599592	19	27	4	171	Chr2	R2	1
25	25	3605348	3743433	29	45	8	406	Chr2	R2	1
26	26	3758991	3897979	13	13	0	78	Chr2	R2	1
27	27	3900712	4045947	26	34	4	325	Chr2	R2	1
28	28	4051509	4193805	21	31	5	210	Chr2	R2	1
29	29	4213469	4348622	17	33	8	136	Chr2	R2	1
30	30	4358125	4494793	26	42	8	325	Chr2	R2	1
31	31	4512092	4638233	20	24	2	190	Chr2	R2	1
32	32	4662278	4793915	21	37	8	210	Chr2	R2	1
33	33	4801884	4948684	34	46	6	561	Chr2	R2	1
34	34	4956722	5096603	35	63	14	595	Chr2	R2	1
35	35	5113814	5247396	30	60	15	435	Chr2	R2	2
36	36	5250354	5398934	30	52	11	435	Chr2	R2	1
