X	Bin	BpMin	BpMax	Total	Hits	RealHits	MaxHits	Chr	Pop	Colour
1	1	7471	149445	46	228	91	1035	Chr5	R2	2
2	2	153739	299237	35	85	25	595	Chr5	R2	2
3	3	302999	449731	53	431	189	1378	Chr5	R2	2
4	4	450685	599726	49	221	86	1176	Chr5	R2	2
5	5	604955	741382	15	31	8	105	Chr5	R2	1
6	6	750122	896674	37	75	19	666	Chr5	R2	2
7	7	900296	1046219	41	103	31	820	Chr5	R2	2
8	8	1056148	1194057	32	46	7	496	Chr5	R2	1
9	9	1202234	1343256	22	28	3	231	Chr5	R2	1
10	10	1353019	1493362	39	67	14	741	Chr5	R2	1
11	11	1531586	1645079	18	24	3	153	Chr5	R2	1
12	12	1655743	1799312	12	12	0	66	Chr5	R2	1
13	13	1813398	1929240	21	23	1	210	Chr5	R2	1
14	14	1956731	2088156	25	29	2	300	Chr5	R2	1
15	15	2104927	2218103	18	22	2	153	Chr5	R2	1
16	16	2335733	2399236	7	9	1	21	Chr5	R2	1
17	17	2405700	2530991	35	47	6	595	Chr5	R2	1
18	18	2561412	2691560	27	49	11	351	Chr5	R2	1
19	19	2704852	2845515	26	60	17	325	Chr5	R2	2
20	20	2925437	2992486	8	10	1	28	Chr5	R2	1
21	21	3000597	3149900	23	31	4	253	Chr5	R2	1
22	22	3150100	3287234	24	34	5	276	Chr5	R2	1
23	23	3313604	3426620	19	23	2	171	Chr5	R2	1
24	24	3468228	3595497	7	9	1	21	Chr5	R2	1
25	25	3601590	3747799	27	39	6	351	Chr5	R2	1
26	26	3754362	3899370	37	67	15	666	Chr5	R2	2
27	27	3900008	4049565	29	33	2	406	Chr5	R2	1
28	28	4053033	4169664	26	36	5	325	Chr5	R2	1
29	29	4300342	4346862	16	16	0	120	Chr5	R2	1
30	30	4361642	4499603	39	83	22	741	Chr5	R2	2
31	31	4501998	4648272	18	24	3	153	Chr5	R2	1
32	32	4663214	4797953	18	22	2	153	Chr5	R2	1
33	33	4801132	4932963	19	21	1	171	Chr5	R2	1
34	34	4955259	5095103	18	22	2	153	Chr5	R2	1
35	35	5103757	5240965	31	35	2	465	Chr5	R2	1
36	36	5255904	5397655	30	40	5	435	Chr5	R2	1
37	37	5405512	5548688	24	32	4	276	Chr5	R2	1
38	38	5557454	5644793	13	15	1	78	Chr5	R2	1
39	39	5706574	5840379	19	31	6	171	Chr5	R2	1
40	40	5865965	5999191	21	25	2	210	Chr5	R2	1
41	41	6005196	6136621	12	12	0	66	Chr5	R2	1
42	42	6162216	6273098	17	19	1	136	Chr5	R2	1
43	43	6304588	6446947	18	22	2	153	Chr5	R2	1
44	44	6452754	6585039	36	54	9	630	Chr5	R2	1
45	45	6612413	6747199	21	21	0	210	Chr5	R2	1
46	46	6765560	6899140	26	34	4	325	Chr5	R2	1
47	47	6906976	7048652	7	7	0	21	Chr5	R2	1
48	48	7059548	7175583	11	11	0	55	Chr5	R2	1
49	49	7208126	7342990	21	37	8	210	Chr5	R2	1
50	50	7391420	7499783	20	30	5	190	Chr5	R2	1
51	51	7507499	7649073	20	32	6	190	Chr5	R2	1
52	52	7651245	7789904	27	31	2	351	Chr5	R2	1
53	53	7800815	7930254	11	11	0	55	Chr5	R2	1
54	54	7955335	8086170	20	28	4	190	Chr5	R2	1
55	55	8105760	8244887	29	49	10	406	Chr5	R2	1
56	56	8250440	8399685	21	31	5	210	Chr5	R2	1
57	57	8411105	8546490	19	29	5	171	Chr5	R2	1
58	58	8550165	8694148	28	58	15	378	Chr5	R2	2
59	59	8703796	8849631	22	36	7	231	Chr5	R2	1
60	60	8850757	8999421	17	25	4	136	Chr5	R2	1
61	61	9000163	9070254	9	9	0	36	Chr5	R2	1
62	62	9266966	9268129	2	2	0	1	Chr5	R2	1
63	63	9300643	9446446	20	20	0	190	Chr5	R2	1
64	64	9482376	9579636	19	31	6	171	Chr5	R2	1
65	65	9620762	9732700	19	35	8	171	Chr5	R2	1
66	66	9761761	9890746	25	29	2	300	Chr5	R2	1
67	67	9909721	10038025	18	20	1	153	Chr5	R2	1
68	68	10090002	10198121	20	22	1	190	Chr5	R2	1
69	69	10202179	10339654	12	12	0	66	Chr5	R2	1
70	70	10350981	10484161	13	17	2	78	Chr5	R2	1
71	71	10502290	10643188	40	64	12	780	Chr5	R2	1
72	72	10659101	10790222	18	20	1	153	Chr5	R2	1
73	73	10802792	10907104	19	23	2	171	Chr5	R2	1
74	74	10953814	11097869	24	42	9	276	Chr5	R2	1
75	75	11102211	11245105	20	26	3	190	Chr5	R2	1
76	76	11283358	11395011	22	34	6	231	Chr5	R2	1
77	77	11402278	11543359	20	22	1	190	Chr5	R2	1
78	78	11554862	11675539	9	9	0	36	Chr5	R2	1
79	79	11702302	11848509	12	14	1	66	Chr5	R2	1
80	80	11852079	11991516	33	59	13	528	Chr5	R2	1
81	81	12004069	12137732	23	35	6	253	Chr5	R2	1
82	82	12151283	12298598	27	49	11	351	Chr5	R2	1
83	83	12307070	12447927	28	36	4	378	Chr5	R2	1
84	84	12453903	12598035	24	30	3	276	Chr5	R2	1
85	85	12602369	12746811	16	18	1	120	Chr5	R2	1
86	86	12766152	12894199	36	52	8	630	Chr5	R2	1
87	87	12901238	13039300	29	43	7	406	Chr5	R2	1
88	88	13081545	13192684	28	30	1	378	Chr5	R2	1
89	89	13200383	13344826	24	28	2	276	Chr5	R2	1
90	90	13353783	13488517	29	37	4	406	Chr5	R2	1
91	91	13523782	13630086	12	18	3	66	Chr5	R2	1
92	92	13651591	13792159	17	19	1	136	Chr5	R2	1
93	93	13804543	13946666	24	32	4	276	Chr5	R2	1
94	94	13953307	14095518	27	37	5	351	Chr5	R2	1
95	95	14106729	14243328	36	42	3	630	Chr5	R2	1
96	96	14259542	14393876	19	25	3	171	Chr5	R2	1
97	97	14401798	14548478	8	8	0	28	Chr5	R2	1
98	98	14568516	14692659	16	22	3	120	Chr5	R2	1
99	99	14719588	14835036	17	23	3	136	Chr5	R2	1
100	100	14850792	14998376	23	27	2	253	Chr5	R2	1
101	101	15018825	15147762	43	115	36	903	Chr5	R2	2
102	102	15195665	15293208	12	22	5	66	Chr5	R2	1
103	103	15302994	15441688	28	32	2	378	Chr5	R2	1
104	104	15451393	15595436	23	41	9	253	Chr5	R2	1
105	105	15600038	15613540	4	4	0	6	Chr5	R2	1
106	106	15765636	15891423	18	22	2	153	Chr5	R2	1
107	107	15908628	16047628	33	37	2	528	Chr5	R2	1
108	108	16063733	16186807	25	45	10	300	Chr5	R2	1
109	109	16205745	16349012	21	29	4	210	Chr5	R2	1
110	110	16351050	16489742	23	31	4	253	Chr5	R2	1
111	111	16501571	16627913	23	47	12	253	Chr5	R2	2
112	112	16677349	16786078	20	22	1	190	Chr5	R2	1
113	113	16800707	16949644	30	42	6	435	Chr5	R2	1
114	114	16953291	17092596	27	43	8	351	Chr5	R2	1
115	115	17112956	17237307	28	34	3	378	Chr5	R2	1
116	116	17256139	17388299	15	23	4	105	Chr5	R2	1
117	117	17404274	17548536	35	71	18	595	Chr5	R2	2
118	118	17563670	17695457	35	87	26	595	Chr5	R2	2
119	119	17735600	17842408	15	19	2	105	Chr5	R2	1
120	120	17852426	17998182	26	34	4	325	Chr5	R2	1
121	121	18000357	18142615	35	69	17	595	Chr5	R2	2
122	122	18164386	18298933	35	59	12	595	Chr5	R2	1
123	123	18305416	18449786	25	31	3	300	Chr5	R2	1
